________________________________________________________________________________________________________
|  Nº Sub-Rede  | Endereço Sub-Rede    |  Máscara  |  Endereços Válidos Host  |  Endereço Broadcast     |                                                                             
|_______________|______________________|___________|__________________________|_________________________|
|               |                      |           |                          |                         |
|    1          |  10.0.0.0            |  /26      |   10.0.0.1/10.0.0.62     |  10.0.0.63              |
|               |                      |           |                          |                         |
|    2          |  10.0.0.64           |  /26      |   10.0.0.65/10.0.0.126   |  10.0.0.127             |
|               |                      |           |                          |                         |
|    3          |  10.0.0.128          |  /26      |   10.0.0.129/10.0.0.190  |  10.0.0.191             |
|               |                      |           |                          |                         |
|    4          |  10.0.0.192          |  /26      |   10.0.0.193/10.0.0.254  |  10.0.0.255             |
|               |                      |           |                          |                         |
|_______________|______________________|___________|__________________________|_________________________|            

